timestamp,latitude,longitude,satelites,velocity,hdop,temperature,ph,turbidity,tds,voltage
1753039475,,,,,,,,,,
1753039477,,,,,,,,,,
1753039479,51.40772247314453,17.822328567504883,9.0,1.85,0.078,,,,,
1753039481,51.89034652709961,17.520069122314453,3.0,0.14,0.318,,,,,
1753039483,51.51795196533203,17.998586654663086,4.0,1.62,0.629,,,,,
1753039485,51.777923583984375,17.90951919555664,5.0,1.98,0.309,,,,,
1753039487,51.286537170410156,17.585432052612305,3.0,0.56,0.246,,,,,
1753039489,51.88039016723633,17.462547302246094,4.0,0.63,0.544,,,,,
1753039491,51.455318450927734,17.199443817138672,10.0,0.24,0.479,,,,,
1753039493,51.79555130004883,17.636371612548828,9.0,1.72,0.54,,,,,
1753039495,51.23168182373047,17.4786434173584,7.0,1.46,0.911,,,,,
1753039497,51.30003356933594,17.383697509765625,3.0,0.24,0.824,,,,,
