timestamp,latitude,longitude,satelites,velocity,hdop,temperature,ph,turbidity,tds,depth,voltage,current
1763806440,,,,,,,,,,,,
1763806442,,,,,,3.875,,,,,,
1763806444,,,,,,3.875,,,,23.862695693969727,,
1763806446,,,,,,3.875,,,,24.050785064697266,,
1763806448,51.19186782836914,17.19188690185547,25.0,0.01,0.59,3.875,,,,24.034427642822266,,
1763806450,51.191864013671875,17.19188690185547,25.0,0.01,0.59,3.875,,,,23.84634017944336,,
1763806452,51.191864013671875,17.1918888092041,25.0,0.01,0.59,3.937000036239624,,,,23.817718505859375,,
1763806454,51.191864013671875,17.191890716552734,25.0,0.01,0.59,3.937000036239624,,,,23.862695693969727,,
1763806456,51.191864013671875,17.191892623901367,25.0,0.01,0.59,3.937000036239624,,,,24.054872512817383,,
1763806458,51.191864013671875,17.191892623901367,25.0,0.01,0.59,3.937000036239624,,,,23.834074020385742,,
1763806460,51.191864013671875,17.191896438598633,25.0,0.01,0.59,3.875,,,,24.00989532470703,,
1763806462,51.191864013671875,17.191896438598633,25.0,0.12,0.59,3.937000036239624,,,,23.429275512695312,,
1763806464,51.191864013671875,17.19189453125,25.0,0.41,0.59,3.937000036239624,,,,24.0262508392334,,
1763806466,51.191864013671875,17.191896438598633,25.0,0.31,0.59,3.875,,,,23.44154167175293,,
1763806468,51.19186019897461,17.191898345947266,25.0,0.23,0.59,3.937000036239624,,,,23.829984664916992,,
1763806470,51.19186019897461,17.191898345947266,25.0,0.18,0.59,3.875,,,,23.83816146850586,,
1763806472,51.19186019897461,17.191898345947266,25.0,0.08,0.59,3.875,,,,23.49060821533203,,
1763806474,51.19186019897461,17.191896438598633,25.0,0.08,0.59,3.875,,,,23.85042953491211,,
1763806476,51.19186019897461,17.191896438598633,25.0,0.05,0.59,3.875,,,,24.263404846191406,,
1763806478,51.19186019897461,17.191896438598633,25.0,0.04,0.59,3.875,,,,24.238872528076172,,
1763806480,51.19186019897461,17.191896438598633,25.0,0.15,0.59,3.875,,,,23.641895294189453,,
1763806482,51.19186019897461,17.191896438598633,25.0,0.04,0.59,3.875,,,,24.263404846191406,,
1763806484,51.19186019897461,17.191896438598633,25.0,0.04,0.59,3.875,,,,24.242961883544922,,
1763806486,51.19186019897461,17.191896438598633,25.0,0.06,0.59,3.937000036239624,,,,23.637807846069336,,
1763806488,51.19186019897461,17.191896438598633,25.0,0.1,0.59,3.875,,,,24.091672897338867,,
1763806490,51.19186019897461,17.191896438598633,25.0,0.07,0.59,3.937000036239624,,,,24.108028411865234,,
1763806492,51.19186019897461,17.191896438598633,25.0,0.07,0.59,3.937000036239624,,,,24.095762252807617,,
