timestamp,latitude,longitude,satelites,velocity,hdop,temperature,ph,turbidity,tds,depth,voltage
1761144467,,,,,,,,,,,
1761144469,,,,,,20.937000274658203,,,,24.038516998291016,
1761144471,,,,,,20.937000274658203,,,,27.060199737548828,
1761144473,51.83201599121094,17.81705093383789,7.0,0.52,0.719,20.937000274658203,,,,27.052021026611328,
1761144475,51.963130950927734,17.746044158935547,6.0,1.72,0.88,20.937000274658203,,,,27.060199737548828,
1761144477,51.631378173828125,17.234357833862305,0.0,0.34,0.382,20.937000274658203,,,,27.256465911865234,
1761144479,51.67034149169922,17.418426513671875,7.0,0.0,0.538,20.937000274658203,,,,23.449718475341797,
1761144481,51.93269729614258,17.82632064819336,10.0,0.77,0.919,20.937000274658203,,,,27.043842315673828,
1761144483,51.00697326660156,17.65886688232422,12.0,0.3,0.828,20.937000274658203,,,,23.453807830810547,
1761144485,51.474937438964844,17.049293518066406,12.0,1.63,0.733,20.937000274658203,,,,27.51406478881836,
1761144487,51.568599700927734,17.99461555480957,2.0,0.35,0.432,20.937000274658203,,,,23.457897186279297,
1761144489,51.97501754760742,17.196447372436523,2.0,0.8,0.204,20.937000274658203,,,,24.042606353759766,
1761144491,51.53703689575195,17.516756057739258,3.0,0.54,0.143,20.937000274658203,,,,23.44154167175293,
1761144493,51.93135070800781,17.338443756103516,10.0,0.4,0.352,20.937000274658203,,,,27.2646427154541,
1761144495,51.433074951171875,17.969528198242188,5.0,0.21,0.175,20.937000274658203,,,,24.038516998291016,
1761144497,51.78892135620117,17.739055633544922,10.0,1.75,0.452,20.937000274658203,,,,27.26055335998535,
1761144499,51.4069938659668,17.945314407348633,11.0,1.53,0.741,20.937000274658203,,,,23.457897186279297,
1761144501,51.25379943847656,17.298748016357422,12.0,1.34,0.305,20.937000274658203,,,,24.034427642822266,
1761144503,51.07378387451172,17.546337127685547,12.0,1.49,0.296,20.937000274658203,,,,27.060199737548828,
1761144505,51.82134246826172,17.05743980407715,10.0,1.32,0.981,21.0,,,,27.068376541137695,
1761144507,51.060401916503906,17.963438034057617,6.0,1.13,0.388,20.937000274658203,,,,27.51406478881836,
1761144509,51.24474334716797,17.71588134765625,2.0,0.11,0.89,20.937000274658203,,,,27.26055335998535,
1761144511,51.131980895996094,17.130998611450195,12.0,0.79,0.498,20.937000274658203,,,,27.072465896606445,
1761144513,51.22218322753906,17.152395248413086,7.0,0.32,0.157,20.937000274658203,,,,27.26055335998535,
1761144515,51.75423049926758,17.532272338867188,9.0,0.09,0.331,20.937000274658203,,,,26.892555236816406,
1761144517,51.71452331542969,17.224063873291016,12.0,0.88,0.964,20.937000274658203,,,,25.57593536376953,
1761144519,51.97433090209961,17.263538360595703,12.0,1.87,0.21,20.937000274658203,,,,27.26873207092285,
1761144521,51.657100677490234,17.955284118652344,5.0,1.52,0.917,20.937000274658203,,,,23.449718475341797,
1761144523,51.324676513671875,17.813533782958984,3.0,0.31,0.072,21.0,,,,26.823043823242188,
1761144525,51.08502960205078,17.799423217773438,2.0,1.09,0.519,20.937000274658203,,,,27.706241607666016,
1761144527,51.103111267089844,17.2759952545166,4.0,0.2,0.846,20.937000274658203,,,,23.445629119873047,
1761144529,51.795654296875,17.268321990966797,0.0,1.64,0.315,20.937000274658203,,,,23.306608200073242,
1761144531,51.51327896118164,17.52323341369629,10.0,1.03,0.68,20.937000274658203,,,,27.714420318603516,
1761144533,51.986534118652344,17.8967342376709,4.0,0.61,0.652,20.937000274658203,,,,27.714420318603516,
1761144535,51.57595443725586,17.18769073486328,5.0,0.68,0.8,20.937000274658203,,,,23.449718475341797,
1761144537,51.773319244384766,17.0578670501709,8.0,0.11,0.702,20.937000274658203,,,,27.252376556396484,
1761144539,51.714839935302734,17.108617782592773,7.0,1.44,0.028,20.937000274658203,,,,27.26055335998535,
1761144541,51.83418655395508,17.466596603393555,6.0,0.05,0.646,20.937000274658203,,,,27.064287185668945,
1761144543,51.09909439086914,17.565141677856445,1.0,0.14,0.029,20.937000274658203,,,,27.064287185668945,
1761144545,51.641990661621094,17.471704483032227,3.0,1.72,0.399,21.0,,,,27.056110382080078,
1761144547,51.122100830078125,17.39716911315918,7.0,0.27,0.735,20.937000274658203,,,,27.056110382080078,
1761144549,51.30247116088867,17.007436752319336,11.0,1.93,0.847,20.937000274658203,,,,27.248287200927734,
