timestamp,latitude,longitude,satelites,velocity,hdop,temperature,ph,turbidity,tds,depth,voltage
1761147116,,,,,,,,,,,
1761147118,,,,,,21.062000274658203,,,,23.539674758911133,18.549999237060547
1761147120,51.74241256713867,17.650604248046875,2.0,1.7,0.211,21.062000274658203,,,,30.482589721679688,18.530000686645508
1761147122,51.52578353881836,17.73770523071289,11.0,1.44,0.433,21.062000274658203,,,,31.149078369140625,18.459999084472656
1761147124,51.308963775634766,17.15053939819336,7.0,0.59,0.364,21.062000274658203,,,,30.527568817138672,18.540000915527344
1761147126,51.4459114074707,17.569725036621094,0.0,1.97,0.147,21.062000274658203,,,,30.682945251464844,18.559999465942383
1761147128,51.940635681152344,17.952320098876953,12.0,1.72,0.276,21.062000274658203,,,,23.48651885986328,18.559999465942383
1761147130,51.39543914794922,17.262920379638672,4.0,1.62,0.826,21.062000274658203,,,,30.723834991455078,18.56999969482422
1761147132,51.4384880065918,17.19228172302246,9.0,0.79,0.451,21.062000274658203,,,,30.70339012145996,18.510000228881836
1761147134,51.04667663574219,17.330547332763672,5.0,1.7,0.715,21.062000274658203,,,,23.654163360595703,18.5
1761147136,51.116878509521484,17.02021026611328,8.0,0.92,0.489,21.062000274658203,,,,23.4987850189209,18.489999771118164
1761147138,51.24859619140625,17.476503372192383,2.0,1.0,0.04,21.062000274658203,,,,30.711566925048828,18.510000228881836
1761147140,51.760494232177734,17.795642852783203,12.0,0.32,0.569,21.062000274658203,,,,30.965078353881836,18.5
1761147142,51.337799072265625,17.920984268188477,9.0,1.79,0.295,21.062000274658203,,,,30.552101135253906,18.559999465942383
1761147144,51.333534240722656,17.05790901184082,3.0,0.17,0.797,21.0,,,,30.69521141052246,18.549999237060547
1761147146,51.00448989868164,17.260963439941406,10.0,0.01,0.574,21.062000274658203,,,,30.93645477294922,18.559999465942383
1761147148,51.14348220825195,17.308088302612305,3.0,1.51,0.44,21.062000274658203,,,,30.707477569580078,18.559999465942383
1761147150,51.02058029174805,17.683019638061523,2.0,1.22,0.053,21.062000274658203,,,,23.457897186279297,18.530000686645508
