timestamp,latitude,longitude,satelites,velocity,hdop,temperature,ph,turbidity,tds,depth,voltage,current
1761382044,,,,,,,,,,,,
1761382046,,,,,,27.312000274658203,,,,,19.6299991607666,52.880001068115234
1761382048,51.91933059692383,17.74310302734375,7.0,1.2,0.145,27.25,,,,,19.6200008392334,52.84000015258789
1761382050,51.297183990478516,17.588943481445312,12.0,0.17,0.423,27.312000274658203,,,,,19.610000610351562,52.880001068115234
1761382052,51.020111083984375,17.88276481628418,4.0,1.6,0.664,27.312000274658203,,,,,19.610000610351562,52.84000015258789
1761382054,51.332828521728516,17.8787841796875,6.0,0.43,0.123,27.312000274658203,,,,,19.6200008392334,52.880001068115234
1761382056,51.95975875854492,17.053693771362305,5.0,1.84,0.496,27.312000274658203,,,,,19.6200008392334,52.880001068115234
1761382058,51.638694763183594,17.489885330200195,1.0,1.04,0.743,27.312000274658203,,,,,19.6200008392334,52.880001068115234
1761382060,51.74717330932617,17.899959564208984,4.0,0.32,0.854,27.312000274658203,,,,,19.6200008392334,52.84000015258789
1761382062,51.32719421386719,17.489458084106445,1.0,0.64,0.05,27.312000274658203,,,,,19.6200008392334,52.880001068115234
1761382064,51.907325744628906,17.58541488647461,5.0,1.11,0.453,27.312000274658203,,,,,19.6200008392334,52.880001068115234
1761382066,51.83201599121094,17.132213592529297,3.0,0.75,0.928,27.312000274658203,,,,,19.610000610351562,52.880001068115234
1761382068,51.37831497192383,17.481353759765625,10.0,1.72,0.56,27.312000274658203,,,,,19.6200008392334,52.84000015258789
1761382070,51.76557540893555,17.015214920043945,5.0,0.52,0.722,27.312000274658203,,,,,19.6200008392334,52.880001068115234
1761382072,51.95645523071289,17.65944480895996,6.0,0.53,0.391,27.312000274658203,,,,,19.6200008392334,52.84000015258789
1761382074,51.78325653076172,17.79695701599121,4.0,1.02,0.823,27.312000274658203,,,,,19.6200008392334,52.84000015258789
1761382076,51.860164642333984,17.071306228637695,8.0,1.25,0.591,27.312000274658203,,,,,19.6200008392334,52.880001068115234
1761382078,51.608917236328125,17.448326110839844,0.0,1.29,0.669,27.312000274658203,,,,,19.6200008392334,52.84000015258789
1761382080,51.110450744628906,17.937580108642578,5.0,1.14,0.302,27.312000274658203,,,,,19.6200008392334,52.84000015258789
1761382082,51.09373474121094,17.647424697875977,1.0,0.05,0.564,27.312000274658203,,,,,19.56999969482422,53.63999938964844
1761382084,51.39945983886719,17.367130279541016,12.0,0.97,0.462,27.312000274658203,,,,,19.56999969482422,53.31999969482422
1761382086,51.933860778808594,17.435466766357422,11.0,1.97,0.497,27.312000274658203,,,,,19.56999969482422,53.2400016784668
1761382088,51.951534271240234,17.771554946899414,6.0,1.68,0.927,27.312000274658203,,,,,19.559999465942383,53.36000061035156
1761382090,51.00445556640625,17.916833877563477,6.0,0.44,0.077,27.312000274658203,,,,,19.399999618530273,55.119998931884766
1761382092,51.82278060913086,17.29050636291504,6.0,1.0,0.516,27.312000274658203,,,,,18.299999237060547,68.44000244140625
1761382094,51.73960494995117,17.744361877441406,11.0,1.29,0.913,27.312000274658203,,,,,19.549999237060547,52.84000015258789
1761382096,51.93333435058594,17.879579544067383,4.0,1.03,0.329,27.312000274658203,,,,,19.579999923706055,52.84000015258789
1761382098,51.51206970214844,17.790916442871094,0.0,0.76,0.83,27.312000274658203,,,,,19.579999923706055,52.84000015258789
1761382100,51.5728874206543,17.594711303710938,10.0,0.31,0.787,27.312000274658203,,,,,19.579999923706055,52.880001068115234
1761382102,51.03917694091797,17.995563507080078,2.0,0.73,0.552,27.312000274658203,,,,,19.579999923706055,52.84000015258789
1761382104,51.44279479980469,17.128337860107422,5.0,1.05,0.724,27.312000274658203,,,,,19.579999923706055,52.880001068115234
1761382106,51.78693771362305,17.388357162475586,4.0,0.06,0.641,27.312000274658203,,,,,19.59000015258789,52.880001068115234
1761382108,51.62004089355469,17.6589298248291,10.0,0.53,0.099,27.312000274658203,,,,,19.59000015258789,52.84000015258789
1761382110,51.607967376708984,17.20008659362793,4.0,0.84,0.187,27.312000274658203,,,,,19.59000015258789,52.84000015258789
1761382112,51.08111572265625,17.357772827148438,7.0,1.42,0.312,27.312000274658203,,,,,19.59000015258789,52.880001068115234
1761382114,51.266929626464844,17.01935577392578,5.0,1.76,0.712,27.312000274658203,,,,,19.59000015258789,52.880001068115234
1761382116,51.954246520996094,17.354568481445312,10.0,0.22,0.632,27.312000274658203,,,,,19.600000381469727,52.880001068115234
1761382118,51.57920455932617,17.302011489868164,5.0,1.75,0.477,27.312000274658203,,,,,19.600000381469727,52.84000015258789
1761382120,51.32786560058594,17.46702003479004,4.0,0.89,0.268,27.312000274658203,,,,,19.600000381469727,52.84000015258789
1761382122,51.19684982299805,17.954008102416992,7.0,1.93,0.799,27.312000274658203,,,,,19.610000610351562,52.880001068115234
1761382124,51.016719818115234,17.858736038208008,5.0,1.33,0.114,27.312000274658203,,,,,19.600000381469727,52.84000015258789
