timestamp,latitude,longitude,satelites,velocity,hdop,temperature,ph,turbidity,tds,depth,voltage,current
1761225331,,,,,,,,,,24.067138671875,,53.08000183105469
1761225333,,,,,,20.875,,,,23.445629119873047,17.829999923706055,53.08000183105469
1761225335,51.625144958496094,17.847618103027344,8.0,0.1,0.724,20.875,,,,24.0262508392334,17.81999969482422,53.08000183105469
1761225337,51.296504974365234,17.0654239654541,0.0,1.05,0.291,20.937000274658203,,,,24.063051223754883,17.8799991607666,53.08000183105469
1761225339,51.08378982543945,17.047557830810547,7.0,0.37,0.947,20.937000274658203,,,,23.862695693969727,17.84000015258789,53.08000183105469
1761225341,51.407012939453125,17.460283279418945,6.0,0.09,0.944,20.937000274658203,,,,23.879051208496094,17.8700008392334,53.08000183105469
1761225343,51.72353744506836,17.968469619750977,2.0,1.99,0.213,20.875,,,,23.813629150390625,17.84000015258789,53.08000183105469
1761225345,51.48155975341797,17.31905746459961,11.0,1.33,0.032,20.937000274658203,,,,23.84225082397461,17.8700008392334,53.08000183105469
1761225347,51.96433639526367,17.052474975585938,4.0,1.36,0.068,20.937000274658203,,,,24.058961868286133,17.889999389648438,53.08000183105469
1761225349,51.85688781738281,17.351093292236328,11.0,0.03,0.881,20.875,,,,23.48242950439453,17.850000381469727,53.08000183105469
1761225351,51.85218048095703,17.033262252807617,4.0,0.6,0.75,20.937000274658203,,,,23.834074020385742,17.889999389648438,53.08000183105469
